skill_raw;skill_normalized;domain;field;type_of_skill
Android Wear;Android Development;Software Engineering, Mobile Development;IT;Hard
Angular;Angular;Software Engineering;IT;Hard
AngularFire;Angular;Software Engineering;IT;Hard
AngularJS;Angular;Software Engineering;IT;Hard
Ansible;Ansible;Software Engineering, Operations;IT;Hard
ansble;Ansible;Software Engineering, Operations;IT;Hard
apache;Apache;Computer Science, DevOps, Software Engineering;IT;Hard
Apache Airflow;Apache Airflow;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Apache Ant;Apache Ant;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Camel;Apache Camel;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Commons;Apache Commons;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Cordova;Apache Cordova;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache CXF;Apache CXF;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Derby;Apache Derby;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache FOP;Apache FOP;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Foundation;Apache Foundation;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache HTTP Server;Apache HTTP Server;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Ivy;Apache Ivy;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Kafka;Apache Kafka;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Mesos;Apache Mesos;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache MyFaces Tomahawk;Apache MyFaces Tomahawk;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Pig;Apache Pig;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Spark;Apache Spark;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Storm;Apache Storm;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache Tiles;Apache Tiles;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Tomcat;Apache Tomcat;Computer Science, DevOps, Software Engineering;IT;Hard
Apache Velocity;Apache Velocity;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
Apache ZooKeeper;Apache ZooKeeper;Data Analytics, Data Science, Data Engineering, Computer Science, DevOps, Software Engineering;IT;Hard
ASP.NET;ASP.NET;Computer Science, Software Engineering;IT;Hard
ASP.NET AJAX;ASP.NET;Computer Science, Software Engineering;IT;Hard
ASP.NET Core;ASP.NET;Computer Science, Software Engineering;IT;Hard
ASP.NET Core MVC;ASP.NET;Computer Science, Software Engineering;IT;Hard
ASP.NET MVC;ASP.NET;Computer Science, Software Engineering;IT;Hard
ASP.NET Web API;ASP.NET;Computer Science, Software Engineering;IT;Hard
AspDotNetStorefront;ASP.NET;Computer Science, Software Engineering;IT;Hard
Auditing;Auditing;General;General;Hard
AutoCAD;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD 360;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD Architecture;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD Civil 3D;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD LT;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD MEP;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD Mechanical;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD P&ID;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD Plant 3D;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD WS;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
AutoCAD for Mac;AutoCAD;Design, Product Management, Engineering, UX;Design;Hard
Autodesk Inventor;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk 360;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk InfraWorks;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk MotionBuilder;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk Robot Structural Analysis;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk Smoke;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk Software;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk Tinkercad;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Autodesk Vault;Autodesk Suite;Design, Product Management, Engineering, UX;Design;Hard
Automation;Automation;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
Integration;Automation;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
Process automation;Automation;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
Process optimization;Automation;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
AWS Lambda;AWS;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
Amazon Web Services (AWS);AWS;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
Azure Databricks;Microsoft Azure;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Databricks;Microsoft Azure;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
B2B-Marketing;B2B Marketing;Marketing;Marketing, Sales;Hard, Soft
Business-to-business;B2B Marketing;Marketing;Marketing, Sales;Hard, Soft
Backend Development;Backend Development;Software Engineering, Mobile Development;IT;Hard
Backend-Webentwicklung;Backend Development;Software Engineering, Mobile Development;IT;Hard
Backup Management;Backup Management;Software Engineering, Computer Science;IT;Hard
Backup & Recovery Systems;Backup Management;Software Engineering, Computer Science;IT;Hard
Backup Exec;Backup Management;Software Engineering, Computer Science;IT;Hard
Backup Solutions;Backup Management;Software Engineering, Computer Science;IT;Hard
Backup and Recovery;Backup Management;Software Engineering, Computer Science;IT;Hard
BackupPC;Backup Management;Software Engineering, Computer Science;IT;Hard
Data Backup Solutions;Backup Management;Software Engineering, Computer Science;IT;Hard
NT Backup;Backup Management;Software Engineering, Computer Science;IT;Hard
Network Backup;Backup Management;Software Engineering, Computer Science;IT;Hard
Offsite Backup;Backup Management;Software Engineering, Computer Science;IT;Hard
Online Backup;Backup Management;Software Engineering, Computer Science;IT;Hard
Symantec Backup;Backup Management;Software Engineering, Computer Science;IT;Hard
Syncsort Backup Express;Backup Management;Software Engineering, Computer Science;IT;Hard
Tape Backup;Backup Management;Software Engineering, Computer Science;IT;Hard
Veeam Backup & Replication;Backup Management;Software Engineering, Computer Science;IT;Hard
Banana accounting;Banana Accounting;Accounting, Finance, Operations;General, Legal;Hard
banana;Banana Accounting;Accounting, Finance, Operations;General, Legal;Hard
banana software;Banana Accounting;Accounting, Finance, Operations;General, Legal;Hard
Bash;Bash;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
Shell Scripting;Bash;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
Benefits Administration;Benefits Administration;HR;HR;Hard
Health & Welfare Benefits Administration;Benefits Administration;HR;HR;Hard
Health Benefits Administration;Benefits Administration;HR;HR;Hard
big data;Big Data;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Big Data Analytics;Big Data;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Bioconjugate Chemistry;Biochemistry;Chemistry, Research, Biology;Research;Hard
Bioinorganic Chemistry;Biochemistry;Chemistry, Research, Biology;Research;Hard
Bioorganic Chemistry;Biochemistry;Chemistry, Research, Biology;Research;Hard
Biophysical Chemistry;Biochemistry;Chemistry, Research, Biology;Research;Hard
Carbohydrate Chemistry;Biochemistry;Chemistry, Research, Biology;Research;Hard
Protein Chemistry;Biochemistry;Chemistry, Research, Biology;Research;Hard
Blender;Blender;Design, Art, Modeling;Design;Hard
Image Blender;Blender;Design, Art, Modeling;Design;Hard
Blog;Blogging;Content Marketing, Digital Marketing;Marketing;Hard, Soft
Blogging;Blogging;Content Marketing, Digital Marketing;Marketing;Hard, Soft
Branch Accounting;Branch Accounting;Accounting, Finance, Operations;General, Legal;Hard
Personal branding;Brand Design;Design;Design;Hard, Soft
Audio Branding;Brand Design;Design;Design;Hard, Soft
Brand Design;Brand Design;Design;Design;Hard, Soft
Brand Activation;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Advertising;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Ambassadorship;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Architecture;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Asset Management;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Awareness;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Awareness Programs;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Consultancy;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Equity;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Equity Development;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Essence;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Evolution;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Extensions;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Finance;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Health Tracking;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Identity;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Implementation;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Language;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Leverage;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Licensing;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Loyalty;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Marketing;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Measurement;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Perception;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Performance;Performance Analysis;Data Analysis, Marketing;Marketing;Hard, Soft
Brand Personality;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Positioning Strategies;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Protection;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Strategy;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Strengthening;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brand Tracking;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Branded Content;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Branded Content Development;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Branded Entertainment;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Branded Environments;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Branding;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Branding & Identity;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Branding & Identity Marketing;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Branding Consultancy;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Branding Research;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Channel Branding;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Co-branding;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Consumer Branding;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Corporate Branding;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Emotional Branding;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Employer Branding;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Global Brand Development;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Integrated Brand Marketing;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Launching New Brands;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Lifestyle Brands;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Luxury Brand Marketing;Luxury Management;Design, Marketing, Sales;Marketing;Hard, Soft
Nation Branding;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Online Brand Building;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Online Branding;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Place Branding;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Private Brands;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Retail Branding;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Strategic Brand Consulting;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Strategic Brand Positioning;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Website Branding;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brochure;Typography;Typography, Design;Typography, Design;Hard
Brochure Production;Typography;Typography, Design;Typography, Design;Hard
Brochure Websites;Typography;Typography, Design;Typography, Design;Hard
Brochures;Typography;Typography, Design;Typography, Design;Hard
Company Brochures;Typography;Typography, Design;Typography, Design;Hard
E-brochures;Typography;Typography, Design;Typography, Design;Hard
Investigator Brochures;Typography;Typography, Design;Typography, Design;Hard
Sales Brochures;Typography;Typography, Design;Typography, Design;Hard
Cost Control;Budgeting;Accounting, Finance, Operations;General, Legal;Hard
Stesura on budget;Budgeting;Accounting, Finance, Operations;General, Legal;Hard
Business Analysis;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
Business Analysis Planning & Monitoring;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
Business Analytics;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
General Business Analysis;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
ISEB Business Analysis Essentials;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
ISEB Diploma in Business Analysis;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
Hilfsassistentin - Institute of Marketing and Business Management;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
Business Development;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
Business Development Intern;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
International Business;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
Internationales Management;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
Junior Strategy Consultant;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
BI;Business Intelligence;Data Analytics;IT;Hard
Business Intelligence;Business Intelligence;Data Analytics;IT;Hard
Business Planning;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
Business plan;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
Business Process;Business Process;Sales, Operations;Sales, Operations;Hard, Soft
Business Process Improvement;Business Process;Sales, Operations;Sales, Operations;Hard, Soft
Business Strategy;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
IT & Business Strategy Alignment;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
IT Business Strategy;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
International Business Strategy;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
Internet Business Strategy;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
Sustainable Business Strategies;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
C;Clang;Software Engineering;IT;Hard
C#;C#;Software Engineering;IT;Hard
C++;C++;Software Engineering;IT;Hard
C++ Builder;C++;Software Engineering;IT;Hard
C++/CLI;C++;Software Engineering;IT;Hard
C++0x;C++;Software Engineering;IT;Hard
CAD;CAD;Design, Product Management, Engineering, UX;Design;Hard
2D CAD Drawing;CAD;Design, Product Management, Engineering, UX;Design;Hard
3D, Animation und CAD;CAD;Design, Product Management, Engineering, UX;Design;Hard
3D, animación y CAD;CAD;Design, Product Management, Engineering, UX;Design;Hard
CAD Illustration;CAD;Design, Product Management, Engineering, UX;Design;Hard
CAD Standards;CAD;Design, Product Management, Engineering, UX;Design;Hard
CAD Tools;CAD;Design, Product Management, Engineering, UX;Design;Hard
CAD/CAM;CAD;Design, Product Management, Engineering, UX;Design;Hard
CAD/CAM Software;CAD;Design, Product Management, Engineering, UX;Design;Hard
CADAM;CAD;Design, Product Management, Engineering, UX;Design;Hard
CADDS5;CAD;Design, Product Management, Engineering, UX;Design;Hard
CADs;CAD;Design, Product Management, Engineering, UX;Design;Hard
Derivation rules;Calculus;Mathematics, Data Science;Research;Hard
CanOE;CanOE;Software Engineering, DevOps;IT;Hard
canoe tool;CanOE;Software Engineering, DevOps;IT;Hard
Canoeing;Canoeing;Sports;Sports;Hard
Change Management;Change Management;Operations, HR;HR, General;Hard, Soft
Change Management;Change Management;Operations, HR;HR, General;Hard, Soft
digitization;Change Management;Operations, HR;HR, General;Hard, Soft
Characterization;Characterization;Design, Product Management, Engineering, UX;Design;Hard
Device Characterization;Characterization;Design, Product Management, Engineering, UX;Design;Hard
Site Characterization;Characterization;Design, Product Management, Engineering, UX;Design;Hard
Chemistry;Chemistry;Chemistry, Research;Research;Hard
Chemistry Education;Chemistry;Chemistry, Research;Research;Hard
Coordination Chemistry;Chemistry;Chemistry, Research;Research;Hard
Flow Chemistry;Chemistry;Chemistry, Research;Research;Hard
Forensic Chemistry;Chemistry;Chemistry, Research;Research;Hard
General Chemistry;Chemistry;Chemistry, Research;Research;Hard
Inorganic Chemistry;Chemistry;Chemistry, Research;Research;Hard
Organic Chemistry;Chemistry;Chemistry, Research;Research;Hard
Organometallic Chemistry;Chemistry;Chemistry, Research;Research;Hard
Physical Chemistry;Chemistry;Chemistry, Research;Research;Hard
Physical Organic Chemistry;Chemistry;Chemistry, Research;Research;Hard
Polymer Chemistry;Chemistry;Chemistry, Research;Research;Hard
Supramolecular Chemistry;Chemistry;Chemistry, Research;Research;Hard
Surface Chemistry;Chemistry;Chemistry, Research;Research;Hard
Synthetic Organic Chemistry;Chemistry;Chemistry, Research;Research;Hard
Theoretical Chemistry;Chemistry;Chemistry, Research;Research;Hard
Wet Chemistry;Chemistry;Chemistry, Research;Research;Hard
Cisco IOS;Cisco Systems;Software Engineering, DevOps;IT;Hard
Cisco nologies;Cisco Systems;Software Engineering, DevOps;IT;Hard
Civil Engineering;Civil Engineering;Civil Engineering;Engineering;Hard
Civil Engineering Design;Civil Engineering;Civil Engineering;Engineering;Hard
Civil Engineering Drafting;Civil Engineering;Civil Engineering;Engineering;Hard
Cloud-Computing;Cloud-Computing;Software Engineering, DevOps;IT;Hard
Distributed Systems;Cloud-Computing;Software Engineering, DevOps;IT;Hard
CMMS;CMS;Copywriting, Digital Marketing, Software Engineering;Marketing, IT;Hard, Soft
CMS;CMS;Copywriting, Digital Marketing, Software Engineering;Marketing, IT;Hard, Soft
Coaching;Employee Training and Development;General;General;Soft
Tutoring;Employee Training and Development;General;General;Soft
cogns;Cognos;Data Analytics, Data Science;IT, Statistics;Hard
Cognos;Cognos;Data Analytics, Data Science;IT, Statistics;Hard
Cognos ReportNet;Cognos;Data Analytics, Data Science;IT, Statistics;Hard
Cognos Upfront;Cognos;Data Analytics, Data Science;IT, Statistics;Hard
cognos tool;Cognos;Data Analytics, Data Science;IT, Statistics;Hard
Communication;Communication;General;Communication;Soft
Corporate Communications;Communication;General;Communication;Soft
Customer Relations;Customer Relationship Management;Customer Relationship Management;Sales, Marketing;Hard
Formulation;Communication;General;Communication;Soft
Internal Communications;Communication;General;Communication;Soft
Interpersonal Communication;Communication;General;Communication;Soft
Interpersonal relationships;Interpersonal Skills;General;General;Soft
Marketing communication;Communication;General;Communication;Soft
Oratory;Communication;General;Communication;Soft
PR & Communications Specialist;Communication;General;Communication;Soft
Public Relations;Communication;General;Communication;Soft
Public Speaking;Communication;General;Communication;Soft
Storytelling;Communication;General;Communication;Soft
comms;Communication;General;Communication;Soft
Moderation;Community Management;General, Social Media Management;Communication;Soft
Analytical Chemistry;Computational Chemistry;Chemistry, Research, Computer Science;Research, IT;Hard
Combinatorial Chemistry;Computational Chemistry;Chemistry, Research, Computer Science;Research, IT;Hard
Computational Chemistry;Computational Chemistry;Chemistry, Research, Computer Science;Research, IT;Hard
Formulation Chemistry;Computational Chemistry;Chemistry, Research, Computer Science;Research, IT;Hard
Quantum Chemistry;Computational Chemistry;Chemistry, Research, Computer Science;Research, IT;Hard
Computer Hardware;Computer Hardware Maintenance;General, Electrical Wiring;IT;Hard
Computer Maintenance;Computer Hardware Maintenance;General, Electrical Wiring;IT;Hard
Computer programming;Computer Programming;Computer Science;IT;Hard
OOP;Computer Programming;Computer Science;IT;Hard
Object Oriented Design;Computer Programming;Computer Science;IT;Hard
Object-Oriented Programming (OOP);Computer Programming;Computer Science;IT;Hard
Computer Science;Computer Science;General, Computer Science;IT;Hard
HP-UX;Computer Science;General, Computer Science;IT;Hard
HXC;Computer Science;General, Computer Science;IT;Hard
Informatique;Computer Science;General, Computer Science;IT;Hard
